follower_count,followed_count,bio,bio_Length,Bio_emoji_Count,#_tags_in_bio,Count_Uploads,isPrivate,Username_len,DigitsInUsername,FullName_len,has_ProfilePicture,Count_Mutual,isVerified,Class
1231,728,"['７６ｂａｈｍａｎ２３ｋａｒｍａWｏｒｋcoffegandomｍａｓｈｉｎ', 'ｂａｚrc', 'tuning', 'i', 'rc', 'glx', 'mazda', 'پنوماتیکباز', 'هدلایتضدآب']",14,23,8,30,0,15,4,7,1,0,0,1
75,1747,[],2,0,0,22,0,11,2,3,1,0,0,1
1513,2661,"['اصلا', 'تو', 'خوبی', 'توجلوماپشتیمولی', 'این', 'راهی', 'که', 'میری', 'گرگاشو', 'ماکشتیم']",13,1,0,3,0,17,0,4,1,0,0,1
97,3207,[],0,0,0,22,0,14,1,0,1,0,0,1
133,7059,[],0,0,0,4,0,12,0,0,1,0,0,1
1028,999,"['تنهای', 'وحشینه', 'به', 'انتظار', 'کسی', 'نه', 'انتظار', 'از', 'کسی']",10,15,0,6,0,10,4,0,1,0,0,1
178,7502,[],0,0,0,23,0,12,5,6,1,0,0,1
142,7501,[],0,0,0,25,0,7,1,9,1,0,0,1
73,1994,[],0,0,0,5,0,19,4,0,1,0,0,1
52,281,[],4,0,0,3,0,10,3,8,1,0,0,1
70,3334,[],0,0,0,4,0,6,0,0,1,0,0,1
125,7440,[],0,0,0,10,0,11,6,0,1,0,0,1
77,429,[],0,0,0,4,1,9,1,6,1,0,0,1
58,2925,[],0,0,0,22,0,10,4,0,1,0,0,1
927,1725,[],0,0,0,3,0,11,2,14,1,0,0,1
444,761,[],0,0,0,8,0,11,0,19,1,0,0,1
62,937,[],0,0,0,22,0,10,6,0,1,0,0,1
77,3139,['tehrantirmahi'],3,3,0,22,1,10,4,5,1,0,0,1
48,885,[],0,0,0,5,0,9,3,0,1,0,0,1
87,7054,[],0,0,0,0,0,11,3,0,1,0,0,1
485,1080,[],0,0,0,3,1,12,6,12,1,0,0,1
49,1451,[],0,0,0,6,1,12,2,11,1,0,0,1
53,627,[],0,0,0,5,0,13,4,13,1,0,0,1
69,1663,['Tbz'],1,1,0,4,0,8,6,0,1,0,0,1
77,3836,"['margatsniyab', '𝑺𝑶𝑺', '𝒀𝑶', '𝑰𝑹𝑨𝑸', 'عيناها', 'تقنع', 'الملحدين', 'بأن', 'الله', 'مبدع']",16,15,0,4,0,8,6,8,1,0,0,1
71,1384,[],1,0,0,4,0,13,7,12,1,0,0,1
176,2861,[],2,0,0,0,0,9,3,4,1,0,0,1
101,3905,[],0,0,0,23,0,8,3,0,1,0,0,1
64,816,"['Love', 'is', 'like', 'painting', 'with', 'the', 'difference', 'that', 'you', 'can', 'erase', 'a', 'painting', 'but', 'not', 'love']",16,1,0,22,0,15,4,5,1,0,0,1
98,3605,[],0,0,0,4,1,17,5,0,1,0,0,1
48,525,[],1,0,0,23,0,12,4,0,1,0,0,1
75,767,"['Mese', 'darya', 'bashinRasht']",4,4,0,4,1,11,0,9,1,0,0,1
72,3335,[],0,0,0,4,0,15,1,0,1,0,0,1
26,510,[],6,0,0,27,1,10,4,9,1,0,0,1
66,3256,[],0,0,0,5,0,13,5,12,1,0,0,1
270,3417,[],20,0,0,6,0,8,3,25,1,0,0,1
115,4886,[],0,0,0,30,0,13,2,23,1,0,0,1
83,4094,[],0,0,0,10,0,10,0,10,1,0,0,1
97,727,[],0,0,0,8,0,10,5,0,1,0,0,1
1436,2317,[],29,0,1,4,0,13,4,9,1,0,0,1
2148,1691,"['همیشه', 'مثل', 'شیشه', 'باش', 'که', 'اگر', 'شکوندنت', 'دستهاشو', 'ببری']",9,3,0,20,0,15,0,15,1,0,0,1
66,1907,[],0,0,0,4,0,12,5,12,1,0,0,1
