follower_count,followed_count,bio,bio_Length,Bio_emoji_Count,#_tags_in_bio,Count_Uploads,isPrivate,Username_len,DigitsInUsername,FullName_len,has_ProfilePicture,Count_Mutual,isVerified,Class
461,1308,"['Karma', 'believer', 'Foodie', 'Movie', 'buff', 'TV', 'shows', 'Fiction', 'novels', 'Born', 'sweet', 'tooth', 'Blow', 'candles', 'on', 'th', 'Maygoentertainment', 'owner']",26,7,0,264,1,13,0,17,1,4,0,0
370,487,"['भचर', 'जलचर', 'Architectचर', 'pencilhead']",10,5,0,31,0,9,4,13,1,1,0,0
7730588,75,[],0,0,0,103,0,8,0,12,1,32,1,0
106,217,[],0,0,0,0,1,11,0,20,1,33,0,0
510392,201,"['I', 'live', 'for', 'the', 'future', 'of']",7,1,0,414,0,18,0,11,1,22,1,0
36,13,[],0,0,0,2,1,8,0,0,1,35,0,0
740,502,[],0,0,0,0,1,16,0,17,1,12,0,0
7025635,43,[],11,0,0,188,0,15,0,10,1,7,1,0
356,500,"['The', 'Magical', 'SoulDreamchaser', 'l', 'Karmabeliever', 'l', 'Sportsenthusiast']",8,3,0,58,1,8,0,9,1,40,0,0
654,318,"['Il', 'nest', 'rien', 'de', 'réel', 'que', 'le', 'rêve', 'et', 'lamour', 'MUMBAIAries']",15,8,0,4,1,15,2,28,1,26,0,0
414,427,"['Pune', 'Infused', 'with', 'Little', 'ShynessBrewed', 'with', 'a', ""SmileThat's"", 'me', 'Here', ""I'm""]",14,1,0,8,1,10,0,18,1,20,0,0
659,868,[],0,0,0,40,1,11,0,4,1,13,0,0
48,98,[],0,0,0,0,0,15,2,13,1,20,0,0
3351839,16,[],9,0,0,203,0,7,0,14,1,11,1,0
20196155,2,"['oprahdaily', 'oprahsbookclub', 'ww']",6,7,0,1223,0,5,0,5,1,20,1,0
1914,1757,"['Mrs', 'Mungekar', 'th', 'FebDance', 'is', 'd', 'hidden', 'language', 'of', 'd', 'soulFoodoholicAdventorous', 'TrekingsMBA', 'StudentSplash', 'Cakes', 'on', 'th', 'May']",22,12,0,188,1,8,2,5,1,38,0,0
164,142,[],1,2,0,177,1,10,0,11,1,11,0,0
1513819,44,"['Dad', 'Barçafootball', 'CricketIPL', 'CEO', 'Google', 'and', 'Alphabet', 'Google', 'Pixel', 'Pro']",12,1,0,82,0,12,0,13,1,33,1,0
522886,707,[],6,0,3,1382,0,8,0,8,1,13,1,0
596,874,"['Mumbai', 'India', 'Dekalb', 'USA']",7,4,0,38,1,13,2,12,1,3,0,0
553,618,[],1,1,0,78,1,9,4,12,1,32,0,0
58,57,[],12,0,3,1,0,7,0,15,1,32,0,0
485,488,[],6,0,0,3,1,13,0,13,1,6,0,0
468,462,[],5,0,0,21,1,10,0,3,1,8,0,0
51,80,[],0,0,0,64,0,13,0,6,1,12,0,0
295,3237,[],0,0,0,62,1,15,0,16,1,33,0,0
367,996,"['शतन', 'समत']",2,4,0,16,1,9,2,15,1,3,0,0
